"X","date","store_nbr","item_nbr","units","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","perciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","RA","FZ","FG","BR","UP","MI","SN","HZ","VC","TS","DZ","BL","BC","DU","SQ","PL","FU","GR","GS","SG","PR","FG2"
746157,"2012-06-01",35,16,21,0,0,0,0,0,0,0,0,411,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746207,"2012-06-01",35,66,9,0,0,0,0,0,0,0,0,411,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746234,"2012-06-01",35,93,5,0,0,0,0,0,0,0,0,411,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751152,"2012-06-02",35,16,40,0,0,0,0,0,0,0,0,411,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751199,"2012-06-02",35,63,8,0,0,0,0,0,0,0,0,411,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751202,"2012-06-02",35,66,9,0,0,0,0,0,0,0,0,411,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751229,"2012-06-02",35,93,21,0,0,0,0,0,0,0,0,411,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756147,"2012-06-03",35,16,18,0,0,0,0,0,0,0,0,410,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756197,"2012-06-03",35,66,21,0,0,0,0,0,0,0,0,410,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756224,"2012-06-03",35,93,1,0,0,0,0,0,0,0,0,410,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761142,"2012-06-04",35,16,33,0,0,0,0,0,0,0,0,410,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761189,"2012-06-04",35,63,2,0,0,0,0,0,0,0,0,410,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761192,"2012-06-04",35,66,12,0,0,0,0,0,0,0,0,410,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766137,"2012-06-05",35,16,41,0,0,0,0,0,0,0,0,409,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766184,"2012-06-05",35,63,1,0,0,0,0,0,0,0,0,409,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766187,"2012-06-05",35,66,9,0,0,0,0,0,0,0,0,409,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771132,"2012-06-06",35,16,25,0,0,0,0,0,0,0,0,409,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771182,"2012-06-06",35,66,5,0,0,0,0,0,0,0,0,409,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771209,"2012-06-06",35,93,5,0,0,0,0,0,0,0,0,409,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776127,"2012-06-07",35,16,21,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776174,"2012-06-07",35,63,3,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776177,"2012-06-07",35,66,9,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776204,"2012-06-07",35,93,10,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781122,"2012-06-08",35,16,19,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781169,"2012-06-08",35,63,2,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781172,"2012-06-08",35,66,11,0,0,0,0,0,0,0,0,409,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786117,"2012-06-09",35,16,44,0,0,0,0,0,0,0,0,408,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786167,"2012-06-09",35,66,10,0,0,0,0,0,0,0,0,408,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791112,"2012-06-10",35,16,33,0,0,0,0,0,0,0,0,408,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791159,"2012-06-10",35,63,2,0,0,0,0,0,0,0,0,408,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791162,"2012-06-10",35,66,13,0,0,0,0,0,0,0,0,408,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796107,"2012-06-11",35,16,29,0,0,0,0,0,0,0,0,408,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796154,"2012-06-11",35,63,2,0,0,0,0,0,0,0,0,408,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796157,"2012-06-11",35,66,10,0,0,0,0,0,0,0,0,408,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796184,"2012-06-11",35,93,1,0,0,0,0,0,0,0,0,408,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801102,"2012-06-12",35,16,21,0,0,0,0,0,0,0,0,408,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801152,"2012-06-12",35,66,9,0,0,0,0,0,0,0,0,408,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806097,"2012-06-13",35,16,18,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806144,"2012-06-13",35,63,2,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806147,"2012-06-13",35,66,11,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806174,"2012-06-13",35,93,1,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811092,"2012-06-14",35,16,16,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811142,"2012-06-14",35,66,10,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811169,"2012-06-14",35,93,4,0,0,0,0,0,0,0,0,408,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816087,"2012-06-15",35,16,19,0,0,0,0,0,0,0,0,408,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816137,"2012-06-15",35,66,11,0,0,0,0,0,0,0,0,408,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821082,"2012-06-16",35,16,21,0,0,0,0,0,0,0,0,408,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821132,"2012-06-16",35,66,10,0,0,0,0,0,0,0,0,408,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826077,"2012-06-17",35,16,33,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826127,"2012-06-17",35,66,24,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831072,"2012-06-18",35,16,13,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831122,"2012-06-18",35,66,16,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831149,"2012-06-18",35,93,3,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836067,"2012-06-19",35,16,19,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836114,"2012-06-19",35,63,2,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836117,"2012-06-19",35,66,13,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836144,"2012-06-19",35,93,7,0,0,0,0,0,0,0,0,408,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841062,"2012-06-20",35,16,15,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841112,"2012-06-20",35,66,8,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841139,"2012-06-20",35,93,1,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846057,"2012-06-21",35,16,12,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846104,"2012-06-21",35,63,2,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846107,"2012-06-21",35,66,14,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846134,"2012-06-21",35,93,5,0,0,0,0,0,0,0,0,408,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851052,"2012-06-22",35,16,15,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851099,"2012-06-22",35,63,1,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851102,"2012-06-22",35,66,8,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851129,"2012-06-22",35,93,8,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856047,"2012-06-23",35,16,19,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856097,"2012-06-23",35,66,21,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856124,"2012-06-23",35,93,13,0,0,0,0,0,0,0,0,409,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
