"X","date","store_nbr","item_nbr","units","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","perciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","RA","FZ","FG","BR","UP","MI","SN","HZ","VC","TS","DZ","BL","BC","DU","SQ","PL","FU","GR","GS","SG","PR","FG2"
1558,"2012-01-01",15,5,64,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,"2012-01-01",15,17,2,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,"2012-01-01",15,45,108,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6442,"2012-01-02",15,5,265,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6454,"2012-01-02",15,17,5,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6482,"2012-01-02",15,45,160,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11326,"2012-01-03",15,5,174,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11338,"2012-01-03",15,17,1,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11366,"2012-01-03",15,45,128,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16210,"2012-01-04",15,5,212,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16222,"2012-01-04",15,17,1,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16250,"2012-01-04",15,45,100,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21094,"2012-01-05",15,5,112,66,35,51,0,21,37,14,0,0,0,0,0,24.26,30.04,4.2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21134,"2012-01-05",15,45,103,66,35,51,0,21,37,14,0,0,0,0,0,24.26,30.04,4.2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21150,"2012-01-05",15,61,2,66,35,51,0,21,37,14,0,0,0,0,0,24.26,30.04,4.2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21182,"2012-01-05",15,93,5,66,35,51,0,21,37,14,0,0,0,0,0,24.26,30.04,4.2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25978,"2012-01-06",15,5,100,45,25,35,0,22,31,30,0,0,0,0,0,24.21,30.01,3.6,12,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26018,"2012-01-06",15,45,112,45,25,35,0,22,31,30,0,0,0,0,0,24.21,30.01,3.6,12,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26034,"2012-01-06",15,61,3,45,25,35,0,22,31,30,0,0,0,0,0,24.21,30.01,3.6,12,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30862,"2012-01-07",15,5,220,39,22,31,0,23,27,34,0,0,0,0,0.16,24.19,30.07,4.6,33,5.9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30874,"2012-01-07",15,17,4,39,22,31,0,23,27,34,0,0,0,0,0.16,24.19,30.07,4.6,33,5.9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30902,"2012-01-07",15,45,171,39,22,31,0,23,27,34,0,0,0,0,0.16,24.19,30.07,4.6,33,5.9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30918,"2012-01-07",15,61,2,39,22,31,0,23,27,34,0,0,0,0,0.16,24.19,30.07,4.6,33,5.9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35746,"2012-01-08",15,5,232,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35758,"2012-01-08",15,17,2,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35786,"2012-01-08",15,45,175,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35802,"2012-01-08",15,61,3,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35834,"2012-01-08",15,93,3,33,11,22,0,15,20,43,0,0,0,0,0,24.32,30.29,3.8,18,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40630,"2012-01-09",15,5,111,47,17,32,0,19,27,33,0,0,0,0,0,24.37,30.31,3.4,18,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
